wavelength , correction_curve_intensity 
359.2988,49.2781792577415
358.8792,44.81070168683816
358.4596,45.27713295060427
358.04,60.99966679548068
357.6204,71.91123299887157
357.2008,41.52349368540117
356.7812,57.69584585668462
356.3616,58.30493376200637
355.942,53.56563121591809
355.5224,54.13432423843073
355.1028,43.7685470078875
354.6832,55.29483138613913
354.2636,39.12082364275275
353.844,62.13568723585193
353.4244,34.25715128677893
353.0048,63.48299410019614
352.5852,58.33680344999406
352.1656,41.279251648584186
351.746,65.57388078550667
351.32640000000004,30.131861051483867
350.9068,60.92381215537527
350.48720000000003,49.2744277753095
350.0676,56.044384329485474
349.648,44.071631462528444
349.2284,63.656994724538016
348.8088,64.36425849972147
348.3892,65.08142449086729
347.9696,59.22778978540565
347.55,66.54611663092979
347.1304,47.10578402675776
346.7108,54.44192710168558
346.2912,89.46806291175886
345.8716,55.68135163651173
345.452,42.23573924505605
345.0324,56.956319736396345
344.6128,36.00469053228151
344.1932,94.6855458071973
343.7736,81.0398139685699
343.354,52.16550466077028
342.9344,52.76880898401941
342.5148,68.6325199627191
342.0952,54.00177225400673
341.67560000000003,54.631729974053194
341.256,63.1667151205956
340.8364,55.91936619884281
340.4168,72.74232139242815
339.9972,73.60074408937867
339.5776,57.92251844965742
339.158,75.3557349555364
338.7384,33.89010774058531
338.3188,77.16305791640728
337.8992,52.057941320895495
337.4796,79.02453965974908
337.06,71.08993833065306
336.6404,62.95495053645054
336.2208,54.61498986434571
335.8012,55.278434252962086
335.3816,83.92783820182926
334.962,75.51405298418669
334.5424,47.77463066917644
334.1228,67.70648109913496
333.70320000000004,78.33258172407618
333.2836,49.563063713954406
332.86400000000003,100.35506953956573
332.4444,91.44259588252632
332.0248,102.8699092509181
331.6052,62.49389320574342
331.1856,94.91667650511476
330.766,64.07383400802001
330.3464,43.25484110817891
329.9268,65.70329121936653
329.5072,99.80572676668035
329.0876,67.38407471852484
328.668,102.36644971742616
328.2484,46.078712883541705
327.8288,105.00844670695943
327.4092,94.54298433703806
326.9896,95.76419855374573
326.57,84.87923118976616
326.1504,110.54841120621519
325.7308,111.9890487506094
325.3112,88.24104598662628
324.89160000000004,38.31333822669075
324.472,116.45121106761785
324.05240000000003,91.76751913342515
323.6328,106.2642396495569
323.21320000000003,67.29614210716002
322.79359999999997,122.74464561958942
322.374,69.10140330813445
321.9544,70.02621890571842
321.5348,85.15943845790366
321.1152,115.07460944322712
320.6956,145.7856196181584
320.276,88.65604332083728
319.8564,149.76723382907156
319.4368,91.08463921896733
319.0172,107.71754553810561
318.5976,124.79305317520334
318.178,126.50858154821762
317.7584,80.1580615578938
317.3388,97.51992224500714
316.9192,65.91507313231862
316.4996,150.37226105244804
316.08000000000004,118.58823979585499
315.6604,154.60459938701834
315.24080000000004,156.7749782169183
314.8212,88.32358172377279
314.40160000000003,53.74257951053161
313.98199999999997,90.83977848778926
313.5624,128.9826228488063
313.1428,149.50943971439978
312.7232,132.6907228776154
312.3036,96.13796320702448
311.884,117.02458899431053
311.4644,138.49800413285473
311.0448,120.43009687771249
310.6252,101.81479252130984
310.2056,185.93422090379056
309.786,83.84393956472846
309.3664,148.87562110349867
308.9468,215.80349581371917
308.5272,153.28815091968173
308.1076,244.44126038569752
307.688,157.85939735704054
307.2684,137.31993329307392
306.8488,209.05194465632232
306.42920000000004,94.30192837609606
306.0096,263.22172677479864
305.59000000000003,121.44710909939351
305.1704,271.21751278099777
304.7508,75.08859532387615
304.3312,101.63897819421202
303.9116,257.9691912464591
303.492,104.7648086477407
303.0724,79.77823136832416
302.6528,135.00848848484665
302.2332,246.76399105652956
301.8136,194.8973283479634
301.394,169.64775233776768
300.9744,229.7187188531875
300.5548,174.97975097306244
300.1352,177.72095051261527
299.7156,210.5993470896889
299.296,213.9190576963812
298.8764,279.3877363377965
298.4568,252.2837216677081
298.0372,256.29772176150465
297.61760000000004,162.74268192094826
297.198,231.4874677084558
296.77840000000003,235.20514842237202
296.3588,273.13638474353553
295.9392,208.16280875555418
295.5196,317.3060391109476
295.1,214.97736076924502
294.6804,182.07022368002654
294.2608,333.089361316259
293.8412,300.939743073046
293.4216,305.8953802218778
293.002,155.4742430948172
292.5824,395.12657174893195
292.1628,281.18645251819834
291.7432,285.8755025792948
291.3236,166.0901839806174
290.904,211.09681067949327
290.4844,386.37105428964566
290.0648,305.58591131159454
289.6452,399.5525576094067
289.2256,270.8954893378779
288.80600000000004,321.4332338999401
288.3864,233.52218763516495
287.96680000000003,142.51746914162825
287.5472,241.61780939381805
287.12760000000003,393.26428490987405
286.708,250.04817905396993
286.2884,305.2725856952887
285.8688,465.89250052692654
285.4492,316.02759814594464
285.0296,428.7639805608149
284.61,436.3117833294567
284.1904,444.0172009227658
283.7708,451.88399252772325
283.3512,172.46850660858632
282.9316,234.05861946516208
282.512,416.9302597794874
282.0924,424.41319870792427
281.6728,555.4994857552342
281.2532,377.02284573024895
280.8336,511.8076032300413
280.414,390.83504787347186
